Id,Weekly_Sales
1_1_2012-11-2,19550.593043750006
1_1_2012-11-9,45806.75880833333
1_1_2012-11-16,12936.231347916666
1_1_2012-11-23,39253.65351875
1_1_2012-11-30,23679.1909625
1_1_2012-12-7,3610.0832958333317
1_1_2012-12-14,12923.871716666667
1_1_2012-12-21,44616.244218750006
1_1_2012-12-28,21164.003658333328
1_1_2013-1-4,27574.77547083334
1_1_2013-1-11,23251.202010416666
1_1_2013-1-18,10270.961289583338
1_1_2013-1-25,42865.874393750004
1_1_2013-2-1,14266.872035416669
1_1_2013-2-8,10959.144499404767
1_1_2013-2-15,8036.514855952382
1_1_2013-2-22,4240.344554166665
1_1_2013-3-1,1013.6143791666669
1_1_2013-3-8,4290.233958333333
1_1_2013-3-15,7553.379760119048
1_1_2013-3-22,7567.449044940477
1_1_2013-3-29,16135.663349999997
1_1_2013-4-5,4112.332654761905
1_1_2013-4-12,6734.410118749998
1_1_2013-4-19,4048.7127124999997
1_1_2013-4-26,1687.9449125000006
1_1_2013-5-3,486.37034375000013
1_1_2013-5-10,4263.776168750001
1_1_2013-5-17,2517.904174999999
1_1_2013-5-24,1753.242102083333
1_1_2013-5-31,6001.521429166664
1_1_2013-6-7,5267.001885416666
1_1_2013-6-14,10112.53418958333
1_1_2013-6-21,1622.1273750000003
1_1_2013-6-28,1177.5630875
1_1_2013-7-5,2832.568572916668
1_1_2013-7-12,83644.93278333332
1_1_2013-7-19,64761.77408749999
1_1_2013-7-26,733.7132693452382
1_2_2012-11-2,8106.129843750001
1_2_2012-11-9,4947.000443750001
1_2_2012-11-16,17554.54169583334
1_2_2012-11-23,845.5496979166667
1_2_2012-11-30,12673.790222916668
1_2_2012-12-7,2045.8471565476193
1_2_2012-12-14,10465.486999999994
1_2_2012-12-21,1952.5637166666656
1_2_2012-12-28,3611.612291666666
1_2_2013-1-4,214.25304791666667
1_2_2013-1-11,1197.87475
1_2_2013-1-18,6490.888083630952
1_2_2013-1-25,3519.643772916666
1_2_2013-2-1,44163.609133333324
1_2_2013-2-8,11123.308866666664
1_2_2013-2-15,41460.239268898804
1_2_2013-2-22,15378.745097916666
1_2_2013-3-1,26681.658691666664
1_2_2013-3-8,17649.300145833327
1_2_2013-3-15,5633.20960625
1_2_2013-3-22,3361.562510416667
1_2_2013-3-29,59129.49084374997
1_2_2013-4-5,89183.20136666668
1_2_2013-4-12,64534.675606250006
1_2_2013-4-19,144980.80766369053
1_2_2013-4-26,78828.1596485119
1_2_2013-5-3,65011.73475208336
1_2_2013-5-10,118623.35056875003
1_2_2013-5-17,37371.534897916674
1_2_2013-5-24,37690.10277708333
1_2_2013-5-31,12444.369482440477
